Isoform,PTM pattern,average mass,mass shift,masses Day1_1,masses Day1_2,masses Day2_1,masses Day2_2,masses FastFreeze_1,masses FastFreeze_2,masses SlowFreeze_1,masses SlowFreeze_2,raw intensities Day1_1,raw intensities Day1_2,raw intensities Day2_1,raw intensities Day2_2,raw intensities FastFreeze_1,raw intensities FastFreeze_2,raw intensities SlowFreeze_1,raw intensities SlowFreeze_2,rel. abundances Day1_1,rel. abundances Day1_2,rel. abundances Day2_1,rel. abundances Day2_2,rel. abundances FastFreeze_1,rel. abundances FastFreeze_2,rel. abundances SlowFreeze_1,rel. abundances SlowFreeze_2
P02656-1,0,8094.241073591613,-670.0305821016209,,,8094.378132709807,,8094.104014473418,,,,,,0.09736292400654566,,0.07469618124139467,,,,,,0.02612903589564675,,0.029633205888815052,,,
P02656-1,0,8094.796172885677,-669.4754828075565,,,,8094.594203951179,,,8094.998141820175,,,,,0.0820729434604183,,,0.08352122985749222,,,,,0.028089308022903055,,,0.027891316304989134,
P02656-1,0,8123.1951202514365,-641.0765354417972,8123.406150953921,,,8122.822251128276,,,,8123.356958672111,0.1343272087133019,,,0.12076936139346052,,,,0.08455165221174148,0.037021719969981035,,,0.04133308309511578,,,,0.024321512333684275
P02656-1,0,8123.637974340246,-640.6336813529879,,8123.549351049639,8123.593851637714,,8123.770720333384,,,,,0.08545393587938829,0.11667795584798217,,0.08744169755528253,,,,,0.027750352690078417,0.03131256099475455,,0.03468956222205401,,,
P02656-1,0,8141.334262687495,-622.9373930057391,8141.353824682633,8141.245256783389,8141.362330512989,8141.284446986623,8141.351932572513,,,8141.407784586822,0.9837235469821685,0.8575572957517063,1.0116410040937052,1.0765020089033062,0.771908775651993,,,0.8245697788121152,0.2711225672974464,0.2784835732159618,0.27149147767681514,0.36843075489234783,0.3062289302629358,,,0.23718973575039398
P02656-1,0,8582.83423129427,-181.43742439896414,8582.896898692008,,,,,,8582.77156389653,,0.10494975925156601,,,,,,0.09836770841868499,,0.028925045306503458,,,,,,0.0328491914496919,
P02656-1,0,8764.432285811314,0.16063011808000738,,,,,,,8764.432285811314,,,,,,,,0.10876822957423635,,,,,,,,0.03632237097280439,
P02656-1,0,8765.098048919279,0.8263932260451838,,,,,8765.098048919279,,,,,,,,0.09875353182899589,,,,,,,,0.039177153266766476,,,
P02656-1,1[Ph]4[Na],8932.053463458295,167.78180776506088,8932.279540485037,,,,,,8931.827386431552,,0.12529305369094984,,,,,,0.10824987505960197,,0.03453183009132836,,,,,,0.03614927019650531,
P02656-1,4[Me3],8932.657222358996,168.38556666576187,,8932.657222358996,,,,,,,,0.06734326512106872,,,,,,,,0.021869084661574643,,,,,,
P02656-1,0,9051.68028365741,287.40862796417605,9051.563950850326,,,9051.670229828953,,,9051.980893173513,9051.506060776845,0.08941400764677017,,,0.09484385109430339,,,0.08575729789250132,0.09302232822567261,0.024643260171940625,,,0.032460126749944904,,,0.028638035204487235,0.026758125288704217
P02656-1,0,9129.451998609562,365.1803429163283,9129.451998609562,,,,,,,,0.18411312442188987,,,,,,,,0.050743141322123694,,,,,,,
P02656-1,0,9129.745376941524,365.47372124829053,,9129.563269183735,9130.03990103319,9129.752989929042,9129.713746666102,,9129.556023646875,9129.846331190201,,0.21376684243330962,0.26235645557612847,0.276403726896613,0.2797608723217421,,0.27055857227479596,0.2596997941406105,,0.06941874835749492,0.07040792288389414,0.09459864720486982,0.11098574774998628,,0.0903510967357441,0.07470335092244358
P02656-1,0,9199.027936577206,434.75628088397207,9199.027936577206,,,,,,,,0.06912719166044759,,,,,,,,0.01905204132862228,,,,,,,
P02656-1,0,9326.985566189798,562.7139104965645,9327.085053467643,,9327.140048318906,9326.943845707146,9327.096848082178,,9326.844345582254,9326.803255980658,0.1691527971915634,,0.10681267279421343,0.12010981125565723,0.060120610423729424,,0.09969549380510431,0.09435313022417074,0.04661994803398994,,0.028665040517500708,0.04110735332113444,0.023850836779595864,,0.03329259586628098,0.027140934096971
P02656-1,0,9421.056349460618,656.7846937673839,9421.055676426142,9421.010240582415,9421.197286983617,9420.970290548812,9421.042042854706,9421.052024344255,9421.07661731185,9421.046616633155,0.8398109873592791,0.9540832074574292,1.064002878783137,1.0550011927402527,1.068767192918609,0.6339598732830459,1.0439354195908683,1.0727723923954569,0.23145904317931135,0.3098294447197139,0.28554369845062366,0.3610721416577794,0.4239975558136943,1.0,0.3486147538712106,0.3085858914683495
P02656-1,0,9475.587756180787,711.3161004875528,9475.587756180787,,,,,,,,0.07511245709624519,,,,,,,,0.020701631333749537,,,,,,,
P02656-1,0,9712.379226422738,948.107570729504,9712.582049064999,9712.255175411146,9712.42152132693,,,,9712.295889898021,9712.341496412591,0.7632144680251498,0.9011774285613497,0.9612293513002398,,,,0.9057220170677532,0.9695897398555731,0.21034839168415703,0.2926487963551763,0.25796263290515664,,,,0.30245937835844,0.2789051213033102
P02656-1,0,9738.959068269394,974.6874125761606,,,9739.18157368167,,,,9738.736562857119,,,,0.10615160205960401,,,,0.09998669449766738,,,,0.02848763067560843,,,,0.03338984025119206,
P02656-1,0,9766.073163566645,1001.8015078734115,,,,9766.167257905583,,,9765.97906922771,,,,,0.09615418216972177,,,0.08996195640231691,,,,,0.03290858505590488,,,0.030042150788654614,
P02656-1,0,9766.733285297667,1002.4616296044333,9766.819728415527,,,,9766.629174392441,,,9766.75095308503,0.09009657045456598,,,,0.07924301060345307,,,0.07785544044062774,0.02483138028084629,,,,0.031437008016152165,,,0.022395328836143015
P02656-1,0,8094.241073599178,-670.0305820649883,,,8094.3781327179,,8094.1040144804565,,,,,,0.09736292286230343,,0.0746961804292823,,,,,,0.026129035916338438,,0.029633205939996566,,,
P02656-1,0,8094.796172888033,-669.4754827761335,,,,8094.5942039549545,,,8094.998141821112,,,,,0.08207294236768636,,,0.08352122888101715,,,,,0.028089307997555598,,,0.02789131630665103,
P02656-1,0,8123.195120254488,-641.0765354096784,8123.406150955343,,,8122.822251143216,,,,8123.356958664904,0.13432720723594063,,,0.12076936002480625,,,,0.08455165131699956,0.03702171995266201,,,0.04133308313971309,,,,0.024321512375007296
P02656-1,0,8123.637974356546,-640.6336813076205,,8123.549351077085,8123.593851641215,,8123.770720351338,,,,,0.08545393503515185,0.1166779546618101,,0.08744169656017964,,,,,0.027750352765395486,0.03131256106921704,,0.034689562264347086,,,
P02656-1,0,8141.33426269609,-622.937392968076,8141.353824691719,8141.245256791091,8141.362330522648,8141.284446993886,8141.351932582109,,,8141.407784595081,0.9837235341094797,0.8575572842339323,1.0116409918584244,1.0765019951206811,0.7719087655730394,,,0.8245697680363681,0.2711225666046588,0.2784835729827647,0.27149147779892,0.36843075474814757,0.3062289301227419,,,0.23718973556370151
P02656-1,0,8582.83423130885,-181.43742435531567,8582.896898704823,,,,,,8582.77156391288,,0.10494975800908138,,,,,,0.09836770704454649,,0.028925045268657038,,,,,,0.03284919137681656,
P02656-1,0,8764.432285807117,0.1606301429510495,,,,,,,8764.432285807117,,,,,,,,0.1087682281674274,,,,,,,,0.036322370929832065,
P02656-1,0,8765.098048911124,0.826393246958105,,,,,8765.098048911124,,,,,,,,0.09875353054081815,,,,,,,,0.039177153249332776,,,
P02656-1,1[Ph]4[Na],8932.053463467115,167.7818078029486,8932.27954048738,,,,,,8931.82738644685,,0.12529305199921978,,,,,,0.10824987375216628,,0.034531829988707886,,,,,,0.03614927018468388,
P02656-1,4[Me3],8932.657222359236,168.38556669506943,,8932.657222359236,,,,,,,,0.06734326443508469,,,,,,,,0.021869084714216766,,,,,,
P02656-1,0,9051.680283669662,287.4086280054962,9051.56395086261,,,9051.670229841067,,,9051.980893182257,9051.506060792713,0.08941400650280097,,,0.0948438499356813,,,0.0857572969971567,0.09302232702205517,0.024643260116156897,,,0.03246012675629624,,,0.028638035242016698,0.026758125271102943
P02656-1,0,9129.451998618415,365.1803429542488,9129.451998618415,,,,,,,,0.18411312184018802,,,,,,,,0.05074314114493136,,,,,,,
P02656-1,0,9129.745376948646,365.4737212844793,,9129.563269199285,9130.039901035761,9129.752989931094,9129.713746669082,,9129.556023653986,9129.84633120266,,0.2137668399356276,0.26235645230937593,0.27640372349174763,0.27976086897340097,,0.2705585688671464,0.2596997911998899,,0.06941874842062334,0.07040792289041842,0.09459864721369753,0.11098574781999519,,0.09035109665949284,0.07470335099398596
P02656-1,0,9199.027936583052,434.75628091888575,9199.027936583052,,,,,,,,0.06912719094035759,,,,,,,,0.019052041330785377,,,,,,,
P02656-1,0,9326.985566186318,562.7139105221522,9327.085053464725,,9327.140048310475,9326.943845693911,9327.096848083793,,9326.844345579755,9326.803255985249,0.16915279543841175,,0.10681267157404478,0.1201098097161511,0.06012060972584346,,0.09969549265367852,0.09435312932288183,0.04661994804173413,,0.02866504054962848,0.0411073533044563,0.023850836803238636,,0.03329259587298937,0.02714093417103671
P02656-1,0,9421.056349468516,656.7846938043494,9421.055676435193,9421.010240590107,9421.19728698857,9420.970290561336,9421.042042861853,9421.05202434944,9421.076617322049,9421.046616639584,0.839810976470356,0.9540831948860918,1.0640028658535658,1.0550011799134464,1.0687671791462134,0.6339598650784988,1.0439354069692481,1.0727723789727506,0.23145904261559283,0.3098294445391373,0.28554369856267814,0.3610721417493729,0.42399755569206216,1.0,0.3486147537528566,0.30858589139708437
P02656-1,0,9475.587756189349,711.3161005251823,9475.587756189349,,,,,,,,0.07511245649943614,,,,,,,,0.020701631387260784,,,,,,,
P02656-1,0,9712.37922642968,948.1075707655145,9712.582049066717,9712.255175422597,9712.421521334243,,,,9712.29588990505,9712.341496419795,0.7632144655650268,0.9011774178980823,0.961229337566149,,,,0.9057220068116886,0.9695897279347556,0.21034839322118337,0.29264879657786225,0.25796263245532064,,,,0.3024593784876779,0.2789051212995512
P02656-1,0,9738.959068279262,974.687412615096,,,9739.181573687943,,,,9738.736562870583,,,,0.10615160103308055,,,,0.09998669357424915,,,,0.02848763075747879,,,,0.03338984033518464,
P02656-1,0,9766.073163562553,1001.8015078983863,,,,9766.16725789455,,,9765.979069230556,,,,,0.0961541810781225,,,0.08996195553426632,,,,,0.03290858509076081,,,0.03004215085179838,
P02656-1,0,9766.733285308963,1002.4616296447966,9766.819728433651,,,,9766.629174393258,,,9766.750953099985,0.09009656967570215,,,,0.07924300983728104,,,0.07785543980564336,0.02483138032766969,,,,0.03143700810828575,,,0.022395328928530103
